Country Code,Country Name,Year,Population,Total Affected,Prevalence Rate %,Drug OD Deaths,Opioid Deaths,Alcohol Deaths,Treatment Centers,Treatment Gap %,Economic Cost (B),Primary Source,Verified
BLR,Belarus,2024,9200000,280943,3.05,176,105,6822,18,67.3,5.7,EMCDDA European Drug Report 2024,NO
BLR,Belarus,2025,9200000,235681,2.56,148,88,5723,18,54.9,4.7,EMCDDA European Drug Report 2024,NO
BLZ,Belize,2019,410000,22744,5.55,47,28,253,10,66.0,0.5,PAHO/WHO Americas Report 2024,NO
BLZ,Belize,2020,410000,23772,5.8,49,29,265,10,66.9,0.5,PAHO/WHO Americas Report 2024,NO
BLZ,Belize,2021,410000,29893,7.29,62,37,333,10,81.3,0.6,PAHO/WHO Americas Report 2024,NO
BLZ,Belize,2022,410000,42316,10.32,89,53,472,10,99.5,0.9,PAHO/WHO Americas Report 2024,NO
BLZ,Belize,2023,410000,31389,7.66,66,39,350,10,80.8,0.7,PAHO/WHO Americas Report 2024,NO
BLZ,Belize,2024,410000,37634,9.18,79,47,420,10,94.2,0.8,PAHO/WHO Americas Report 2024,NO
BLZ,Belize,2025,410000,32365,7.89,68,40,361,10,78.9,0.6,PAHO/WHO Americas Report 2024,NO
BOL,Bolivia,2019,12080000,521178,4.31,309,185,8933,24,100,11.8,OAS/CICAD Report 2024,NO
BOL,Bolivia,2020,12080000,590394,4.89,351,210,10120,24,100,13.1,OAS/CICAD Report 2024,NO
BOL,Bolivia,2021,12080000,560588,4.64,333,199,9609,24,100.0,12.2,OAS/CICAD Report 2024,NO
BOL,Bolivia,2022,12080000,479969,3.97,284,170,8227,24,89.1,10.2,OAS/CICAD Report 2024,NO
BOL,Bolivia,2023,12080000,495973,4.11,294,176,8501,24,89.6,10.3,OAS/CICAD Report 2024,NO
BOL,Bolivia,2024,12080000,530498,4.39,315,189,9093,24,93.3,10.8,OAS/CICAD Report 2024,NO
BOL,Bolivia,2025,12080000,523205,4.33,311,186,8969,24,89.7,10.5,OAS/CICAD Report 2024,NO
BRA,Brazil,2019,214300000,7543360,3.52,5500,1200,607240,857,91.0,171.4,DATASUS/Ministry of Health Brazil,YES
BRA,Brazil,2020,214300000,7714800,3.6,5900,1350,621041,857,90.5,171.4,DATASUS/Ministry of Health Brazil,YES
BRA,Brazil,2021,214300000,7886240,3.68,6400,1500,634842,857,90.0,171.4,DATASUS/Ministry of Health Brazil,YES
BRA,Brazil,2022,214300000,8057680,3.76,6800,1650,648643,857,89.5,171.4,DATASUS/Ministry of Health Brazil,YES
BRA,Brazil,2023,214300000,8229120,3.84,11931,7159,662444,857,89.0,171.4,SENAD Brazil 2024,NO
BRA,Brazil,2024,214300000,8400560,3.92,12180,7308,676245,857,88.5,171.4,SENAD Brazil 2024,NO
BRA,Brazil,2025,214300000,8572000,4.0,12429,7457,690046,857,88.0,171.4,SENAD Brazil 2024,NO
BRB,Barbados,2019,288000,25476,8.85,53,32,284,10,100,0.6,PAHO/WHO Americas Report 2024,NO
BRB,Barbados,2020,288000,21118,7.33,44,26,235,10,84.0,0.5,PAHO/WHO Americas Report 2024,NO
BRB,Barbados,2021,288000,22948,7.97,47,28,255,10,88.6,0.5,PAHO/WHO Americas Report 2024,NO
BRB,Barbados,2022,288000,25004,8.68,52,31,279,10,93.9,0.5,PAHO/WHO Americas Report 2024,NO
BRB,Barbados,2023,288000,28356,9.85,59,35,316,10,99.0,0.6,PAHO/WHO Americas Report 2024,NO
BRB,Barbados,2024,288000,26212,9.1,54,32,292,10,93.4,0.5,PAHO/WHO Americas Report 2024,NO
BRB,Barbados,2025,288000,29071,10.09,61,36,324,10,98.0,0.6,PAHO/WHO Americas Report 2024,NO
BRN,Brunei,2019,445000,10071,2.26,3,2,215,10,100,0.2,WHO SEARO/WPRO Reports 2024,NO
BRN,Brunei,2020,445000,6333,1.42,1,1,135,10,68.8,0.1,WHO SEARO/WPRO Reports 2024,NO
BRN,Brunei,2021,445000,7785,1.75,2,1,166,10,81.7,0.2,WHO SEARO/WPRO Reports 2024,NO
BRN,Brunei,2022,445000,8499,1.91,2,1,181,10,86.7,0.2,WHO SEARO/WPRO Reports 2024,NO
BRN,Brunei,2023,445000,7017,1.58,1,1,149,10,69.8,0.1,WHO SEARO/WPRO Reports 2024,NO
BRN,Brunei,2024,445000,6434,1.45,1,1,137,10,62.3,0.1,WHO SEARO/WPRO Reports 2024,NO
BRN,Brunei,2025,445000,6822,1.53,2,1,146,10,64.2,0.1,WHO SEARO/WPRO Reports 2024,NO
BTN,Bhutan,2019,780000,16724,2.14,6,3,358,10,100,0.4,WHO SEARO/WPRO Reports 2024,NO
BTN,Bhutan,2020,780000,17888,2.29,6,3,382,10,100,0.4,WHO SEARO/WPRO Reports 2024,NO
BTN,Bhutan,2021,780000,11017,1.41,3,2,235,10,66.3,0.2,WHO SEARO/WPRO Reports 2024,NO
BTN,Bhutan,2022,780000,17428,2.23,6,3,373,10,99.5,0.4,WHO SEARO/WPRO Reports 2024,NO
BTN,Bhutan,2023,780000,12982,1.66,4,2,277,10,73.7,0.3,WHO SEARO/WPRO Reports 2024,NO
BTN,Bhutan,2024,780000,17428,2.23,5,3,373,10,96.0,0.4,WHO SEARO/WPRO Reports 2024,NO
BTN,Bhutan,2025,780000,12067,1.55,4,2,258,10,64.8,0.2,WHO SEARO/WPRO Reports 2024,NO
BWA,Botswana,2019,2590000,81852,3.16,34,20,1694,10,100,1.9,WHO AFRO Health Statistics 2024,NO
BWA,Botswana,2020,2590000,84046,3.25,36,21,1740,10,100,1.9,WHO AFRO Health Statistics 2024,NO
BWA,Botswana,2021,2590000,79486,3.07,34,20,1645,10,100.0,1.7,WHO AFRO Health Statistics 2024,NO
BWA,Botswana,2022,2590000,63481,2.45,26,15,1314,10,87.2,1.4,WHO AFRO Health Statistics 2024,NO
BWA,Botswana,2023,2590000,65077,2.51,27,16,1347,10,87.0,1.4,WHO AFRO Health Statistics 2024,NO
BWA,Botswana,2024,2590000,50025,1.93,20,12,1035,10,65.3,1.0,WHO AFRO Health Statistics 2024,NO
BWA,Botswana,2025,2590000,60835,2.35,26,15,1260,10,77.2,1.2,WHO AFRO Health Statistics 2024,NO
CAF,Central African Republic,2019,5580000,144853,2.6,61,36,2999,11,99.9,3.3,WHO AFRO Health Statistics 2024,NO
CAF,Central African Republic,2020,5580000,182236,3.27,77,46,3774,11,100,4.0,WHO AFRO Health Statistics 2024,NO
CAF,Central African Republic,2021,5580000,161958,2.9,69,41,3354,11,100.0,3.5,WHO AFRO Health Statistics 2024,NO
CAF,Central African Republic,2022,5580000,174733,3.13,74,44,3619,11,99.5,3.7,WHO AFRO Health Statistics 2024,NO
CAF,Central African Republic,2023,5580000,112396,2.01,48,28,2328,11,69.9,2.3,WHO AFRO Health Statistics 2024,NO
CAF,Central African Republic,2024,5580000,164052,2.94,69,41,3397,11,98.5,3.3,WHO AFRO Health Statistics 2024,NO
CAF,Central African Republic,2025,5580000,113495,2.03,48,28,2350,11,66.8,2.3,WHO AFRO Health Statistics 2024,NO
CAN,Canada,2019,38250000,5284620,13.82,4800,3823,50490,306,85.0,120.1,Health Canada Opioid Surveillance,YES
CAN,Canada,2020,38250000,5404725,14.13,7600,6214,51637,306,84.5,120.1,Health Canada Opioid Surveillance,YES
CAN,Canada,2021,38250000,5524830,14.44,8800,7560,52785,306,84.0,120.1,Health Canada Opioid Surveillance,YES
CAN,Canada,2022,38250000,5644935,14.76,8500,7328,53932,306,83.5,120.1,Health Canada Opioid Surveillance,YES
CAN,Canada,2023,38250000,5765040,15.07,8200,7000,55080,306,83.0,120.1,Health Canada Opioid Surveillance (Estimated),YES
CAN,Canada,2024,38250000,5885145,15.39,8000,6800,56227,306,82.5,120.1,Health Canada (Estimated),YES
CAN,Canada,2025,38250000,6005250,15.7,7800,6500,57375,306,82.0,120.1,Projected based on trends,YES
CHE,Switzerland,2019,8700000,344924,3.96,190,171,8376,17,99.5,7.8,BAG Switzerland,YES
CHE,Switzerland,2020,8700000,264734,3.04,185,165,6428,17,75.0,5.9,BAG Switzerland,YES
CHE,Switzerland,2021,8700000,327483,3.76,195,175,7952,17,89.7,7.1,BAG Switzerland,YES
CHE,Switzerland,2022,8700000,265628,3.05,200,180,6450,17,71.1,5.7,BAG Switzerland,YES
CHE,Switzerland,2023,8700000,227823,2.62,143,85,5532,17,59.5,4.7,EMCDDA European Drug Report 2024,NO
CHE,Switzerland,2024,8700000,341806,3.93,214,128,8300,17,86.4,7.0,EMCDDA European Drug Report 2024,NO
CHE,Switzerland,2025,8700000,224865,2.58,141,84,5461,17,55.4,4.5,EMCDDA European Drug Report 2024,NO
CHL,Chile,2019,19490000,721729,3.7,429,257,12371,38,90.2,16.4,OAS/CICAD Report 2024,NO
CHL,Chile,2020,19490000,561477,2.88,333,200,9624,38,68.8,12.5,OAS/CICAD Report 2024,NO
CHL,Chile,2021,19490000,717694,3.68,426,256,12303,38,84.9,15.6,OAS/CICAD Report 2024,NO
CHL,Chile,2022,19490000,656403,3.37,390,234,11251,38,75.7,14.0,OAS/CICAD Report 2024,NO
CHL,Chile,2023,19490000,908509,4.66,540,324,15574,38,99.0,18.9,OAS/CICAD Report 2024,NO
CHL,Chile,2024,19490000,963733,4.94,573,343,16520,38,98.5,19.7,OAS/CICAD Report 2024,NO
CHL,Chile,2025,19490000,686740,3.52,408,244,11772,38,73.0,13.7,OAS/CICAD Report 2024,NO
CHN,China,2019,1412000000,22366080,1.58,20000,12000,2733632,2824,96.0,508.3,NNCC China,YES
CHN,China,2020,1412000000,22874400,1.62,18000,11000,2795760,2824,95.5,508.3,NNCC China,YES
CHN,China,2021,1412000000,23382720,1.66,16000,10000,2857888,2824,95.0,508.3,NNCC China,YES
CHN,China,2022,1412000000,23891040,1.69,15000,9000,2920016,2824,94.5,508.3,NNCC China,YES
CHN,China,2023,1412000000,24399360,1.73,9488,5693,2982144,2824,94.0,508.3,NNCC China 2024,NO
CHN,China,2024,1412000000,24907680,1.76,9686,5811,3044272,2824,93.5,508.3,NNCC China 2024,NO
